
  ==========================================
  Studio Pro version: 9.5.18
  Started at: 28/9/2023, 7:38:42
  ==========================================
  

[2023-09-28T12:44:37.173Z] : [warn]: There is a small amount of free memory (RAM) left, 94.07% of RAM is being used (7414 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T12:47:07.150Z] : [warn]: There is a small amount of free memory (RAM) left, 90.51% of RAM is being used (7133 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:00:37.119Z] : [warn]: There is a small amount of free memory (RAM) left, 90.42% of RAM is being used (7126 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:42:38.676Z] : [warn]: There is a small amount of free memory (RAM) left, 90.13% of RAM is being used (7103 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:45:38.694Z] : [warn]: There is a small amount of free memory (RAM) left, 91.04% of RAM is being used (7175 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:48:38.698Z] : [warn]: There is a small amount of free memory (RAM) left, 92.13% of RAM is being used (7261 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:51:38.719Z] : [warn]: There is a small amount of free memory (RAM) left, 92.95% of RAM is being used (7325 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T13:54:38.739Z] : [warn]: There is a small amount of free memory (RAM) left, 90.83% of RAM is being used (7158 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T14:27:08.882Z] : [warn]: There is a small amount of free memory (RAM) left, 92.12% of RAM is being used (7260 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T14:31:08.687Z] : [warn]: There is a small amount of free memory (RAM) left, 91.27% of RAM is being used (7193 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T14:34:10.880Z] : [warn]: There is a small amount of free memory (RAM) left, 93.48% of RAM is being used (7367 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T14:57:38.671Z] : [warn]: There is a small amount of free memory (RAM) left, 93.69% of RAM is being used (7384 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-09-28T14:59:38.655Z] : [warn]: There is a small amount of free memory (RAM) left, 93.77% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

