
  ==========================================
  Studio Pro version: 9.5.18
  Started at: 10/10/2023, 8:54:17
  ==========================================
  

[2023-10-10T13:54:20.561Z] : [success]: Robot saved successfully

[2023-10-10T13:54:20.879Z] : [info]: ---------------------------------------------

[2023-10-10T13:54:20.881Z] : [success]: Bot started

[2023-10-10T13:54:20.882Z] : [info]: Robot start

[2023-10-10T13:55:07.217Z] : [error]: Script Stopped.

[2023-10-10T13:55:07.781Z] : [info]: Total execution time: 46s 334ms

[2023-10-10T13:55:07.783Z] : [info]: ---------------------------------------------

[2023-10-10T14:03:46.006Z] : [warn]: There is a small amount of free memory (RAM) left, 94.35% of RAM is being used (7436 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:07:16.024Z] : [warn]: There is a small amount of free memory (RAM) left, 91.31% of RAM is being used (7196 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:10:16.047Z] : [warn]: There is a small amount of free memory (RAM) left, 93.26% of RAM is being used (7350 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:19:15.986Z] : [warn]: There is a small amount of free memory (RAM) left, 90.6% of RAM is being used (7140 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:20:45.985Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7189 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:32:15.986Z] : [warn]: There is a small amount of free memory (RAM) left, 93.1% of RAM is being used (7337 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:50:45.997Z] : [warn]: There is a small amount of free memory (RAM) left, 91.54% of RAM is being used (7214 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:52:45.988Z] : [warn]: There is a small amount of free memory (RAM) left, 90.76% of RAM is being used (7153 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:55:46.001Z] : [warn]: There is a small amount of free memory (RAM) left, 91.46% of RAM is being used (7208 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T14:58:46.016Z] : [warn]: There is a small amount of free memory (RAM) left, 91.18% of RAM is being used (7186 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T15:01:46.040Z] : [warn]: There is a small amount of free memory (RAM) left, 94.3% of RAM is being used (7432 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T15:04:46.064Z] : [warn]: There is a small amount of free memory (RAM) left, 93.33% of RAM is being used (7355 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-10T15:16:15.987Z] : [warn]: There is a small amount of free memory (RAM) left, 93.77% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

