
  ==========================================
  Studio Pro version: 9.5.18
  Started at: 18/10/2023, 12:52:19
  ==========================================
  

[2023-10-18T17:52:47.344Z] : [success]: Robot saved successfully

[2023-10-18T17:52:52.551Z] : [info]: ---------------------------------------------

[2023-10-18T17:52:52.555Z] : [success]: Bot started

[2023-10-18T17:52:52.558Z] : [info]: Robot start

[2023-10-18T17:53:25.678Z] : [success]: Bot finished successfully, total execution time: 33s 115ms

[2023-10-18T17:53:25.681Z] : [info]: ---------------------------------------------

[2023-10-18T17:54:14.062Z] : [warn]: There is a small amount of free memory (RAM) left, 93.57% of RAM is being used (7374 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-18T17:55:11.482Z] : [success]: Bot started

[2023-10-18T17:55:11.484Z] : [info]: Robot start

[2023-10-18T17:55:49.049Z] : [success]: Bot finished successfully, total execution time: 37s 562ms

[2023-10-18T17:55:49.053Z] : [info]: ---------------------------------------------

[2023-10-18T17:57:14.118Z] : [warn]: There is a small amount of free memory (RAM) left, 92.46% of RAM is being used (7287 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-18T18:13:14.113Z] : [warn]: There is a small amount of free memory (RAM) left, 90.93% of RAM is being used (7166 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-18T18:17:14.100Z] : [warn]: There is a small amount of free memory (RAM) left, 91.69% of RAM is being used (7226 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-18T18:27:18.246Z] : [info]: Internet connection // error

[2023-10-18T18:27:24.304Z] : [success]: Connection to our licenses server is restored

[2023-10-18T18:35:44.076Z] : [warn]: There is a small amount of free memory (RAM) left, 92.15% of RAM is being used (7262 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

